A_ID (user getting reply) , B_ID (user that is replying)
1424033022,1010320666648645632
961299362,415898636
856010760,4880781801
738786290313920513,749005051180355584
449422338,1001228776032763905
402285996,804582780298412032
39416218,1437276203312984070
89297892,1120819174476062722
926164634570067968,1113956399833333761
18580938,1283952596877807618
829032434222166017,1969346438
1404291198,59019518
1404291198,3029686011
3380282686,779091626727763968
926164634570067968,73659965
16012783,1333774146807980033
745824471689244672,32424767
53963427,540223123
296553576,2809579420
296553576,2887391470
34116377,1054893957652434944
1429437000,55770035
254515782,1382912376597479427
270132611,31493863
784575415457308672,1129107453474267136
3246790436,553990226
69231656,1239066462356008960
44820390,1401861298233647106
1212247565850177536,1401861298233647106
3453306553,1401861298233647106
1238949674989416449,2886781622
110453483,547838573
1180036365062459392,111313891
803694179079458816,28817015
178580925,106123038
178580925,875495754537861121
178580925,1374439409047674888
1207273044756041729,1089419890325360641
178580925,897180245006180352
242827267,3300838824
32871086,262472211
3288075858,124385632
700382651501277184,523843082
1366968686301433860,404726267
307755781,202884181
2385475135,17695133
3277827936,480306928
58974496,32366648
793202009281273857,1467443898977030146
2245797112,965935355492032514
723148184013279234,2608740770
723148184013279234,304938928
32871086,897515348085190656
1243560408025198593,889348599837933568
1243560408025198593,345365317
4823944600,1280885680831332353
931532198,4039345572
214558299,3731897535
276688330,1296279134079823872
255369151,1128224212349382656
1301903018850308099,973261711
1108565574,1369160185315430402
22954232,94350709
276688330,275104144
467726691,21407616
1096205507348623360,848180033688612864
1096205507348623360,322643459
1349803174316679176,451756372
1215467169623891968,1265172359020834817
16582131,204598799
1108565574,524939820
1230079133662605312,1111063253554069504
3223426134,2193135944
1431762585519595520,778976910
1345419030157529088,1251801300745977856
1417873927733403650,169487547
65357102,91556413
3193073724,35586763
3246790436,3336352766
246178914,2921282954
102707504,729795376438464512
55113432,1098333864420765696
1259161086,1151025570341220352
29447428,36066931
52400775,1341047951486009347
29447428,728273994
56657187,32576902
1117704370630455296,267498657
1271084812296761344,1341047951486009347
30844417,976948534053343233
4292519659,977204844
133010823,1169989273468190728
769928202424684544,981436419087523840
1196590977932091392,3246790436
18831926,19617541
19017675,726070073081868289
1278236816936710144,29447428
11801292,382856144
467726691,4541535439
95091601,828605443400282113
39416218,1471506869717897223
16582131,370726302
21525682,997519418492993537
1108565574,90107770
2467791,1376709819613253633
45010849,852389079975165953
3140730672,1217939176701616128
976948534053343233,1639763630
780546876391067648,18488140
19604599,1387836231937970186
878284831,1344424632103956482
1394086635994681345,301352485
508132071,1428424784396783616
255812611,26262458
2227646515,2412307836
1579290116,426081006
252608121,1259818577785307137
879810242153914368,16957407
879147821915615233,746746178260205569
488935510,21711199
879810242153914368,3227865816
35157660,1238819398271541251
1357131432804700160,41899582
3269171958,1075927117
91180720,950091704295706624
935116421977186304,1167150751426043904
1166244003773329408,1431358317423693827
34019598,503272829
14157134,985146235039506432
15728161,2193135944
86626845,1220034889879187456
14281853,1285594911803416583
220732461,793580816840425477
15227162,173672963
3288075858,90107770
221615955,1309762062
48624704,923839146077986821
48624704,1415515867857637380
48624704,962092001154940928
93419198,29447428
48624704,2412307836
3246790436,1307213540634230784
558319107,1285142677
17895820,199452338
1242887487313391616,1350494918612045833
1080844782,880819093976170498
19739126,1921951394
19739126,1921951394
1256595851859726337,997519418492993537
15801906,1352235653849870338
18831926,275104144
255812611,1438672537773395970
19084896,1307324263297413130
1094971056358637568,26973844
803694179079458816,1033084441697153024
848148994102611969,928269303761158145
15852801,4262438479
41438148,2264401871
1435272849128923140,736632572063719426
342863309,96648433
254515782,982538772540567552
159955958,1173501470345445376
95091601,1213060990822076416
229623135,940778288871542786
563615572,807271301283016704
2826798206,1340798360652046336
1235970884113850368,267498657
798953701972938752,493606253
798953701972938752,17290000
385162111,2219819197
118942188,60779696
840111948612042753,1284041137808969729
942156122,73537202
1203009388924944388,1063672498003181568
926164634570067968,738145794
926164634570067968,715617989656051712
96648433,110893874
3425014283,4197995774
465973,2295967047
1481993284587241480,3082546368
90646214,571141141
258124400,418566530
274120403,895814938995957760
529147678,426344026
810818800627175425,1136856346370822144
173672963,202884181
168952498,2401117104
72655429,29447428
1211081036328665088,56227000
41822696,1350494918612045833
19089339,309932421
2545160880,1401861298233647106
1028022611324747776,93476670
2299987059,797127398416326656
1237853058140213248,755642370604097536
135371497,439249630
21525682,997519418492993537
135371497,84174241
63942152,1314346745086709760
95463107,826226272418283520
1481868843522084864,1174639256863510530
95463107,2193135944
1481868843522084864,2394564265
5120691,837793226341875712
138451153,155930120
234694571,1363558112498749441
142332083,271075882
1073606435580325889,303324434
298410389,482770329
52136185,935886804028243969
34247411,1403349748153819145
29447428,23747507
1385103818661109767,1457388751886249987
14539104,19165893
1274015453086732288,110893874
139109800,39130254
39197185,895814938995957760
47991586,4900890843
48624704,17939958
568345906,406045135
121127090,1440605679203467266
21110041,901256460566487041
921411153426862084,21924899
168503417,45970216
873185490375233537,296152939
20751145,804582780298412032
198296897,836753078153965570
29447428,146243221
2319354435,832757977417400321
1240407498,1353872252823953408
