hashtag_H, cluster_C_leader_user_id, relative_frequency_H_C, frequency_H_in_C, frequency_H_overall, count_H_in_C, count_tweets_in_C, count_H_entire_dataset, count_tweets_entire_dataset
abcnews, 2574271742, .49760924111158452838, .00007101264024996449, .00014270763961564075, 3, 42246, 9, 63066
abcovid19, 118166719, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abcrn, 3453306553, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
abcyourbiasisshowing, 1496792408792903684, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abecon, 832019161454817280, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abed, 18218403, .90355362201840348835, .00054443024191639445, .00060254336726603875, 23, 42246, 38, 63066
aberdeen, 1387010761994682371, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aberdeenshire, 4757894056, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abfuture, 18218403, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
abhealth, 18218403, 1.41818633716801591316, .00044974672158310845, .00031712808803475723, 19, 42246, 20, 63066
ableg, 4213849704, 1.17293606833444924723, .00338493585191497419, .00288586560111629086, 143, 42246, 182, 63066
ableism, 192374137, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
abolishcolumbusday, 1028022611324747776, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abolishice, 2530758806, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abortion, 18218403, .74641386166737679233, .00004734176016664299, .00006342561760695144, 2, 42246, 4, 63066
abortionisessential, 18218403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abpoli, 118166719, 1.12872340057017954883, .00073379728258296643, .00065011258047125233, 31, 42246, 41, 63066
abpse, 18218403, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
abramovic, 2332033299, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
absolutelymental, 18218403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abudhabi, 3231054096, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
abuse, 192374137, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abusiveavi, 1031000589054828544, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
acab, 348764745, .99521848222316905644, .00004734176016664299, .00004756921320521358, 2, 42246, 3, 63066
academicchatter, 2332033299, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
academyawards, 118166719, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
acaheretostay, 308045021, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
accessible, 39508140, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
accessionday, 828578052942741505, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
accessory, 1387010761994682371, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
accnyc, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
accountability, 1031000589054828544, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aces, 1687521895, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
acip, 308045021, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
acloserlook, 1921951394, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
acmawards, 950215424981028864, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
acoupinplainsight, 3040987923, .99521848222316905644, .00004734176016664299, .00004756921320521358, 2, 42246, 3, 63066
acowslife, 42091962, 1.11962079250106526732, .00007101264024996449, .00006342561760695144, 3, 42246, 4, 63066
act, 1387010761994682371, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
actforals, 838381908656603144, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
actoffraud, 1387010761994682371, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
actonclimate, 1060440219097423872, 1.27956662000121733309, .00014202528049992898, .00011099483081216503, 6, 42246, 7, 63066
actorsonactors, 853523328, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
ad, 2530758806, .49760924111158442311, .00002367088008332149, .00004756921320521358, 1, 42246, 3, 63066
ada, 1387010761994682371, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
adenovirus, 29447428, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
adhd, 4213849704, 1.11962079250106526732, .00007101264024996449, .00006342561760695144, 3, 42246, 4, 63066
adolfputin, 870244616003403781, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
adopt, 1060440219097423872, 1.13739255111219319085, .00037873408133314396, .00033298449243649510, 16, 42246, 21, 63066
adoptdontshop, 17531651, 1.11962079250106517906, .00014202528049992898, .00012685123521390289, 6, 42246, 8, 63066
adopter, 1060440219097423872, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
adoption, 1060440219097423872, 1.49282772333475357719, .00089949344316621691, .00060254336726603875, 38, 42246, 38, 63066
adorable, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
adulting, 940778288871542786, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
adversechildhoodeperiences, 1687521895, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
