hashtag_H                                  cluster_C_leader_user_id  relative_frequency_H_C  frequency_H_in_C       frequency_H_overall    count_H_in_C  count_tweets_in_C  count_H_entire_dataset  count_tweets_entire_dataset
authorsoftwitter                           1504895933774979079       3.57090909090909094989  .00272727272727272727  .00076374745417515274  3             1100               3                       3928
autoimmuneconditions                       1481754751570268164       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
azovbatallion                              1504928141692788737       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
azovnazis                                  1504928141692788737       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
ba2                                        1503727337694797829       1.19030303030303030883  .00181818181818181818  .00152749490835030549  2             1100               6                       3928
bancongressionalstock                      1486058764100771841       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
bccrss                                     1509148946140209154       1.05026737967914438408  .00454545454545454545  .00432790224032586558  5             1100               17                      3928
bcpoli                                     1491306773806194688       .39676767676767676874   .00090909090909090909  .00229124236252545824  1             1100               9                       3928
beaheroforvotingrights                     1482391203270344707       2.38060606060606063326  .00181818181818181818  .00076374745417515274  2             1100               3                       3928
befierce                                   1501283385783865355       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
benghazi                                   1516998050010435584       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
berejiklian                                1487222400123273220       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
berkshire                                  1511731475376451585       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
betoforgovernor                            1482091826907652103       .59515151515151515441   .00090909090909090909  .00152749490835030549  1             1100               6                       3928
betofortexas                               1497616898476982274       1.53038961038961039278  .00272727272727272727  .00178207739307535641  3             1100               7                       3928
bidenboom                                  1489845832249655299       1.78545454545454546325  .00181818181818181818  .00101832993890020366  2             1100               4                       3928
bidendelivers                              1487536824075669506       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
bidenstrong                                1499152208318943245       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
big12                                      1479181338842390536       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
biggestloser                               1482586482640670724       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
